c_classid;c_instanceid;c_price;c_offers;c_popularity;c_rarity;c_quality;c_heroid;c_slot;c_market_name;c_name_color;c_pop
143815174;143865972;405000;2;0;"базового класса";;1051;Обыч.;"Пропуск на операцию «Расплата»";D2D2D2;759
186150629;143865972;15890;156;1188;"базового класса";;21;Обыч.;"Ключ от кейса CS:GO";D2D2D2;1232
186150630;143865972;16000;59;94;"базового класса";;21;Обыч.;"Ключ eSports";D2D2D2;1230
191923205;143865972;14700;5;457;"базового класса";;3279;Обыч.;"Именной ярлык";D2D2D2;1109
259019412;143865972;15900;39;207;"базового класса";;21;Обыч.;"Ключ от кейса Winter Offensive";D2D2D2;1265
259019413;143865972;5900;235;1157;"базового класса";;3111;Обыч.;"Коробка с подарком";D2D2D2;1307
259019414;143865972;74050;3;0;"базового класса";;3111;Обыч.;"Посылка для аудитории";D2D2D2;1223
259019415;143865972;59200;10;4;"базового класса";;3111;Обыч.;"Груда подарков";D2D2D2;1291
310776497;188530139;119386;6;128;Засекреченное;"Немного поношенное";47;Обыч.;"AWP | БАХ (Немного поношенное)";D2D2D2;1233
310776501;0;29900;6;17;Запрещенное;"Прямо с завода";47;Обыч.;"SCAR-20 | Изумруд (Прямо с завода)";D2D2D2;1172
310776502;0;105;17;166;Ширпотреб;"Немного поношенное";19;Обыч.;"Dual Berettas | Наемник (Немного поношенное)";D2D2D2;1067
310776504;188530139;41200;4;67;Засекреченное;"Немного поношенное";19;Обыч.;"USP-S | Сыворотка (Немного поношенное)";D2D2D2;1012
310776507;188530139;36200;4;283;Запрещенное;"Немного поношенное";17;Обыч.;"M4A1-S | Темная вода (Немного поношенное)";D2D2D2;1088
310776509;0;108;43;144;Ширпотреб;"Немного поношенное";47;Обыч.;"SCAR-20 | Песчаная сетка (Немного поношенное)";D2D2D2;769
310776512;0;550;49;364;"Промышленное качество";"Прямо с завода";3;Обыч.;"MAC-10 | Карамельное яблоко (Прямо с завода)";D2D2D2;842
310776515;188530139;5439;1;3;"Армейское качество";"Немного поношенное";17;Обыч.;"SG 553 | Брызги волны (Немного поношенное)";D2D2D2;1020
310776521;188530139;22890;56;347;Запрещенное;"После полевых испытаний";19;Обыч.;"USP-S | Камуфляж (После полевых испытаний)";D2D2D2;1091
310776522;188530139;1380;125;290;"Армейское качество";"После полевых испытаний";3;Обыч.;"ПП-19 Бизон | Синие полутона (После полевых испыта";D2D2D2;619
310776524;188530139;207800;2;7;Засекреченное;"После полевых испытаний";3;Обыч.;"P90 | Изумрудный дракон (После полевых испытаний)";D2D2D2;1002
310776527;188530139;9699;8;234;"Армейское качество";"Немного поношенное";17;Обыч.;"M4A1-S | Кровавый тигр (Немного поношенное)";D2D2D2;1119
310776528;188530139;34600;10;50;Запрещенное;"Немного поношенное";19;Обыч.;"USP-S | Камуфляж (Немного поношенное)";D2D2D2;1161
310776531;188530139;13800;15;177;Запрещенное;"Прямо с завода";17;Обыч.;"AK-47 | Синий ламинат (Прямо с завода)";D2D2D2;1223
310776535;0;1999;6;1;Ширпотреб;"После полевых испытаний";75;Обыч.;"M249 | Пиксельный камуфляж «Джунгли» (После полевы";D2D2D2;469
310776543;0;140;32;174;Ширпотреб;"После полевых испытаний";17;Обыч.;"Galil AR | Белое напыление (После полевых испытани";D2D2D2;471
310776543;302028390;100;255;2772;Ширпотреб;"После полевых испытаний";17;Обыч.;"Galil AR | Белое напыление (После полевых испытаний)";D2D2D2;690
310776545;0;600;4;7;Ширпотреб;"После полевых испытаний";3;Обыч.;"P90 | Ожоги (После полевых испытаний)";D2D2D2;885
310776546;188530139;3486;9;131;"Армейское качество";"Немного поношенное";19;Обыч.;"Five-SeveN | Ками (Немного поношенное)";D2D2D2;809
310776552;188530139;7999;4;49;Запрещенное;"Прямо с завода";49;Обыч.;"Nova | Графит (Прямо с завода)";D2D2D2;886
310776554;0;6000;3;3;Ширпотреб;"Прямо с завода";3;Обыч.;"ПП-19 Бизон | Городская штриховка (Прямо с завода)";D2D2D2;154
310776556;188530139;1128;158;1121;"Армейское качество";"После полевых испытаний";17;Обыч.;"Galil AR | Песчаная буря (После полевых испытаний)";D2D2D2;864
310776557;0;110;23;60;Ширпотреб;Поношенное;19;Обыч.;"Dual Berettas | Колония (Поношенное)";D2D2D2;809
310776558;0;130;14;52;Ширпотреб;"После полевых испытаний";3;Обыч.;"ПП-19 Бизон | Песчаная штриховка (После полевых ис";D2D2D2;638
310776558;302028390;100;56;894;Ширпотреб;"После полевых испытаний";3;Обыч.;"ПП-19 Бизон | Песчаная штриховка (После полевых испытаний)";D2D2D2;730
310776560;0;100;313;1117;Ширпотреб;"После полевых испытаний";49;Обыч.;"Nova | Полярная сетка (После полевых испытаний)";D2D2D2;800
310776563;188530139;13000;11;190;Запрещенное;"Прямо с завода";3;Обыч.;"MP9 | Гипнотический (Прямо с завода)";D2D2D2;513
310776566;0;780;317;4727;"Промышленное качество";"После полевых испытаний";47;Обыч.;"AWP | Африканская сетка (После полевых испытаний)";D2D2D2;768
310776567;0;199;27;120;Ширпотреб;"Немного поношенное";47;Обыч.;"G3SG1 | Полярный камуфляж (Немного поношенное)";D2D2D2;427
310776570;0;100;99;2820;Ширпотреб;"После полевых испытаний";19;Обыч.;"P250 | Северный лес (После полевых испытаний)";D2D2D2;370
